headline,title,text,
"This paper looks at each level of the proposed framework from a service-oriented perspective. The proposed approach might facilitate the research and development of big data, big data analytics, data science, business intelligence, and business intelligence.",10 Bigs Big Data and Its Ten Big Characteristics,"This paper reveals ten big characteristics (10 Bigs) of big data and
explores their non-linear interrelationships through presenting a unified
framework of big data. The framework has three levels: fundamental level,
technological level, and socio-economic level. The fundamental level has four
big fundamental characteristics of big data. The technological level consists of
three big technological characteristics of big data. The socioeconomic level has
three big socioeconomic characteristics of big data. The paper looks at each
level of the proposed framework from a service-oriented perspective. The
proposed approach in this paper might facilitate the research and development
of big data, big data analytics, data science, business intelligence, and business
analytics.",
"5G network is projected to support large amount of data traffic and massive number of wireless connections. 5G networks support a wide range of applications such as smart home, autonomous driving, drone operations, health and mission critical applications.",5G Mobile Services and Scenarios Challenges and Solutions,"The Fifth generation (5G) network is projected to support large amount of data traffic and
massive number of wireless connections. Different data traffic has different Quality of Service (QoS) requirements. 5G mobile network aims to address the limitations of previous cellular standards (i.e., 2G/3G/4G) and be a prospective key enabler for future Internet of Things (IoT). 5G networks support a wide range of applications such as smart home, autonomous driving, drone operations, health and mission critical applications, Industrial IoT (IIoT), and entertainment and multimedia. Based on end users’ experience, several 5G services are categorized into immersive 5G services, intelligent 5G services, omnipresent 5G services, autonomous 5G services, and public 5G services. In this paper, we present a brief overview of 5G technical scenarios. We then provide a brief overview of accepted papers in our Special Issue on 5G mobile services and scenarios. Finally, we conclude this paper.",
"Transformative solutions are expected to drive the surge for accommodating a rapidly growing number of intelligent devices and services. 6G will fulfill the requirements of a fully connected world and provide ubiquitous wireless connectivity for all. The Internet of NanoThings, the Internet of BioNanoThings, and cell-free massive MIMO communication networks have also been discussed.",6G and Beyond The Future of Wireless Communications Systems,"The next generation of wireless communication networks, or 6G, will fulfill the requirements
of a fully connected world and provide ubiquitous wireless connectivity for all. Transformative solutions are expected to drive the surge for accommodating a rapidly growing number of intelligent devices and services. Major technological breakthroughs to achieve connectivity goals within 6G include: (i) a network operating at the THz band with much wider spectrum resources, (ii) intelligent communication environments that enable a wireless propagation environment with active signal transmission and reception, (iii) pervasive artificial intelligence, (iv) large-scale network automation, (v) an all-spectrum reconfigurable front-end for
dynamic spectrum access, (vi) ambient backscatter communications for energy savings, (vii) the Internet of Space Things enabled by CubeSats and UAVs, and (viii) cell-free massive MIMO communication networks. In this roadmap paper, use cases for these enabling techniques as well as recent advancements on related topics are highlighted, and open problems with possible solutions are discussed, followed by a development timeline outlining the worldwide efforts in the realization of 6G. Going beyond 6G, promising early-stage technologies such as the Internet of NanoThings, the Internet of BioNanoThings, and quantum communications, which are expected to have a far-reaching impact on wireless communications, have also
been discussed at length in this paper.",
"Unlike previous work, it does not require experts to annotate the training set. We represent the image of a scene by a collection of local regions. We report satisfactory categorization performances on a large set of 13 categories.",A Bayesian Hierarchical Model for Learning Natural Scene Categories,"We propose a novel approach to learn and recognize natural scene categories. Unlike previous work, it does not require experts to annotate the training set. We represent the image of a scene by a collection of local regions, denoted as codewords obtained by unsupervised learning. Each region is represented as part of a “theme”. In previous work, such themes were learnt from hand-annotations of experts, while our method learns the theme distributions
as well as the codewords distribution over the themes without supervision. We report satisfactory categorization performances on a large set of 13 categories of complex scenes.",
Bayesian surprise provides an intuitive way to identify surprising information from a summarization input. Method quantifies the degree to which pieces of information in the input change one's beliefs about the world.,A bayesian method to incorporate background knowledge during automatic text summarization,"In order to summarize a document, it is often useful to have a background set
of documents from the domain to serve as a reference for determining new and
important information in the input document. We present a model based on
Bayesian surprise which provides an intuitive way to identify surprising information from a summarization input with respect to a background corpus. Specifically,
the method quantifies the degree to which pieces of information in the input change
one’s beliefs’ about the world represented in the background. We develop systems for generic and update summarization based on this idea. Our method provides competitive content selection performance with particular advantages in the update task where systems are given a small and topical background corpus.",
"Inductive reasoning is an important educational practice but can be difficult for teachers to support in the classroom. In this paper, we describe a model to predict and simulate inductive reasoning of students for a categorization task. Using data gathered from 222 students categorizing three topics, we fnd that our model has a 75% accuracy.",A Bayesian Model of Individual Differences and Flexibility in Inductive Reasoning for Categorization of Examples,"Inductive reasoning is an important educational practice but can be difcult for teachers to support in the classroom due to the high level of preparation and classroom time needed to choose the teaching materials that challenge students’ current views. Intelligent tutoring systems can potentially facilitate this work for teachers by supporting the automatic adaptation of examples based on a student model of the induction process. However, current models of inductive reasoning usually lack two main characteristics helpful to adaptive learning environments, individual di?erences of students and tracing of students’ learning as they receive feedback. In this paper, we describe a model to predict and simulate inductive reasoning of students for a categorization task. Our approach uses a Bayesian model for describing the reasoning processes of students. This model allows us to predict students’ choices in categorization questions by accounting for their feature biases. Using data gathered from 222 students categorizing three topics, we fnd that our model has a 75% accuracy, which is 10% greater than a baseline model. Our model is a contribution to learning analytics by enabling us to assign different bias profles to individual students and tracking these profle changes over time through which we can gain a better understanding of students’ learning processes. This model may be relevant for systematically analysing students’ di?erences and evolution in inductive reasoning strategies while supporting the design of adaptive inductive learning environments.", 
"SK Telecom Company of South Korea recently introduced the concept of IoST to its business model. The company deployed IoST, which constantly generates data via the LoRa wireless platform. A system developed using the proposed architecture will be able to analyze and store IoST data.",A Big Data Analytics Architecture for the internet of small thing,"The SK Telecom Company of South Korea recently introduced the concept of IoST to its business model. The company deployed IoST, which constantly generates data via the LoRa wireless platform. The increase in data rates generated by IoST is escalating exponentially. After attempting to analyze and store the massive volume of IoST data using existing tools and technologies, the South Korean company realized the shortcomings immediately. The current article addresses some of the issues and presents a big data analytics architecture for its IoST. A system developed using the proposed architecture will be able to analyze and store IoST data efficiently while enabling better decisions. The proposed architecture is composed of four layers, namely the small things layer, infrastructure layer, platform layer, and application layer. Finally, a detailed analysis of a big data implementation of the IoST used to track humidity and temperature via Hadoop is presented as a proof of concept.", 
"The Canadian banking industry has become highly competitive due to threats and disruptions caused by direct competitors. The primary objective of this paper is to construct a predictive churn model by utilizing big data. By deploying the above systems, we were able to uncover a wealth of data associated with over 3 million customers' records.",A big data analytics model for customer churn prediction in the retiree segment,"Undoubtedly, the change in consumers’ choices and expectations, stemming from the emerging technology and also signifcant availability of di?erent products and services, created a highly competitive landscape in various customer service sectors, including the fnancial industry. Accordingly, the Canadian banking industry has also become highly competitive due to the threats and disruptions caused by not only direct competitors, but also new entrants to the market. The primary objective of this paper is to construct a predictive churn model by utilizing big data, including the structured archival data, integrated with unstructured data from sources such as online web pages, the number of website visits and phone conversation logs, for the frst time in the fnancial industry. It also examines the e?ect of di?erent aspects of customers’ behavior on churning decisions. The Datameer big data analytics tool on the Hadoop platform and predictive techniques using the SAS business intelligence system were applied to study the client retirement journey path and to create a churn prediction model. By deploying the above systems, we were able to uncover a wealth of data and information associated with over 3 million customers’ records within the retiree segment of the target bank, from 2011 to 2015.", 
The goal of Intelligent Transport Systems (ITS) is to enhance network performance of vehicular Ad hoc NETworks (VANETs) There are some security concerns including the need to establish trust among the connected peers. The 5G communication system is seen as the technology to cater for the challenges in VANets.,A Blockchain-SDN enabled Internet of Vehicles Environment for Fog Computing and 5G Networks,"The goal of Intelligent Transport Systems (ITS) is to enhance network performance of Vehicular Ad hoc NETworks (VANETs). Even though it presents new opportunities to the Internet of Vehicles (IoV) environment, there are some security concerns including the need to establish trust among the connected peers. The fifth generation (5G) communication system, which provides reliable and low-latency communication services, is seen as the technology to cater for the challenges in VANETs. The incorporation of software defined networks (SDN) also ensures an effective network management. However, there should be monitoring and reporting services provided in the IoV. Blockchain, which has decentralization, transparency and immutability as some of its properties, is designed to ensure trust in networking platforms. In that regard, this paper analyzes the combination of blockchain and SDN for the effective operation of VANET systems in 5G and fog computing paradigms. With managerial responsibilities shared between the blockchain and the SDN, it helps to relieve the pressure off the controller due to the ubiquitous processing that occurs. A trust-based model that curbs malicious activities in the network is also presented. Simulation results substantially guarantee an efficient network performance, while also ensuring there is trust among the entities.", 
An  improper ordering can confuse the reader and deteriorate the readability of a summary. We present a bottom-up approach to arrange sentences extracted for multi-document summarization. We define four criteria to capture the association and order of two textual segments (e.g. sentences) We evaluate the sentence orderings produced by the proposed method and numerous baselines using subjective gradings as well as automatic evaluation measures.,A bottom-up approach to sentence ordering for multi-document summarization,"Ordering information is a difficult but important task for applications generating natural language texts such as multi-document summarization, question answering, and concept-to-text generation. In multi-document summarization, information is selected from a set of source documents. However, improper ordering of information in a summary can confuse the reader and deteriorate the readability of the summary. Therefore, it is vital to properly order the information in multi-document summarization. We present a bottom-up approach to arrange sentences extracted for multi-document summarization. To capture the association and order of two textual segments (e.g. sentences), we define four criteria: chronology, topical-closeness, precedence, and succession. These criteria are integrated into a criterion by a supervised learning approach. We repeatedly concatenate two textual segments into one segment based on the criterion, until we obtain the overall segment with all sentences arranged. We evaluate the sentence orderings produced by the proposed method and numerous baselines using subjective gradings as well as automatic evaluation measures. We introduce the average continuity, an automatic evaluation measure of sentence ordering in a summary, and investigate its appropriateness for this task.", 
